,Best Agent,Best Fitness,Initial P Avg Fitness,P Avg Fitness,P Gain,Max Recorded P Avg Fitness,Max Recorded P Gain
0,"[54, 29, 24, 22, 25, 16, 15, 13, 16, 17, 11, 0]",0.8944824908927804,0.871972997767983,0.8890536652638944,0.017080667495911417,0.8928388637609862,0.02086586599300322
1,"[52, 29, 22, 27, 23, 17, 14, 13, 13, 21, 11, 0]",0.8945302318188327,0.8707064080216544,0.8873813370345096,0.016674929012855166,0.8937171819395566,0.023010773917902183
2,"[56, 29, 18, 27, 22, 18, 14, 13, 14, 19, 12, 0]",0.8946376631914483,0.8724159214351349,0.8905316900154681,0.018115768580333147,0.8938327931150751,0.02141687167994022
3,"[46, 60, 31, 28, 19, 20, 8, 8, 10, 5, 7, 0]",0.894164086211557,0.8729193339650742,0.8875503545887821,0.014631020623707913,0.893032740715105,0.020113406750030816
4,"[55, 29, 17, 27, 24, 15, 16, 13, 16, 16, 14, 0]",0.8944718837501046,0.871352625324045,0.8926996338057875,0.021347008481742535,0.89385529437136,0.022502669047315016
5,"[58, 28, 21, 24, 23, 15, 15, 14, 14, 19, 11, 0]",0.8945890761684611,0.872011558356427,0.8786067670355088,0.00659520867908181,0.8934337582885431,0.021422199932116137
6,"[59, 26, 20, 26, 21, 16, 14, 15, 15, 18, 12, 0]",0.894530107518449,0.8717033484022381,0.8893163830208846,0.017613034618646495,0.8932018224714843,0.02149847406924621
7,"[53, 30, 20, 25, 23, 20, 13, 12, 16, 19, 11, 0]",0.8945540219883545,0.8744958873651746,0.8894839017964793,0.014988014431304708,0.8928296902153015,0.018333802850126868
8,"[46, 58, 29, 30, 30, 12, 15, 12, 1, 5, 2, 2]",0.894164086211557,0.8716629947196597,0.8795763496076242,0.007913354887964519,0.8930067081578846,0.021343713438224943
9,"[59, 25, 19, 24, 25, 16, 15, 14, 15, 18, 12, 0]",0.8945502008920007,0.8724525275330762,0.8858693257057015,0.01341679817262531,0.8934183593044931,0.020965831771416865
10,"[57, 26, 19, 28, 21, 19, 15, 12, 14, 19, 12, 0]",0.8946003775719537,0.8724207004133211,0.8856273102521083,0.013206609838787187,0.8931645285330585,0.020743828119737406
11,"[49, 68, 41, 25, 11, 7, 7, 24, 2, 4, 4, 0]",0.8948271260835912,0.8736336668132948,0.8804566085008356,0.006822941687540829,0.8930697619216371,0.01943609510834232
12,"[58, 24, 21, 24, 24, 18, 16, 13, 13, 20, 11, 0]",0.8945839819912995,0.8716135379025178,0.880870354113447,0.00925681621092922,0.8934254174963013,0.0218118795937835
13,"[54, 30, 22, 23, 24, 18, 14, 13, 15, 18, 11, 0]",0.8945901932437906,0.8716833329235065,0.8883925404763677,0.016709207552861205,0.8937639018908711,0.022080568967364544
14,"[48, 70, 27, 23, 11, 17, 19, 0, 7, 11, 7, 2]",0.8946143192903736,0.8708022487054606,0.8896103820341605,0.018808133328699905,0.8926559074768318,0.02185365877137113
15,"[53, 32, 18, 28, 23, 17, 15, 11, 15, 18, 12, 0]",0.8944998995816685,0.8711475663311218,0.8932356672845911,0.02208810095346936,0.8934077066092379,0.02226014027811607
