,Best Agent,Best Fitness,Initial P Avg Fitness,P Avg Fitness,P Gain,Max Recorded P Avg Fitness,Max Recorded P Gain
0,"[57, 29, 19, 25, 22, 17, 15, 15, 12, 19, 12, 0]",0.894626465,0.872903344,0.888353886,0.015450542,0.893281651,0.020378307
1,"[51, 66, 39, 14, 11, 17, 13, 5, 12, 3, 2, 9]",0.89523026,0.868554728,0.885667117,0.017112389,0.894164086,0.025609358
2,"[56, 28, 24, 21, 20, 19, 17, 12, 14, 19, 12, 0]",0.894488469,0.871720623,0.881339993,0.00961937,0.89381622,0.022095596
3,"[55, 24, 22, 29, 22, 14, 18, 13, 15, 17, 13, 0]",0.894431893,0.871625252,0.888416339,0.016791087,0.894251418,0.022626165
4,"[41, 63, 21, 23, 21, 7, 23, 6, 5, 7, 19, 6]",0.892870719,0.873341033,0.888966109,0.015625076,0.892290542,0.018949509
5,"[55, 29, 22, 23, 23, 17, 15, 13, 15, 20, 10, 0]",0.894628871,0.872176496,0.889957853,0.017781358,0.894364636,0.02218814
6,"[57, 33, 17, 25, 21, 15, 16, 14, 15, 19, 10, 0]",0.894370029,0.87349427,0.884230886,0.010736615,0.893995679,0.020501409
7,"[46, 67, 18, 33, 32, 5, 9, 9, 7, 8, 8, 0]",0.894164086,0.872882906,0.891529557,0.018646651,0.893731949,0.020849042
8,"[55, 28, 19, 26, 23, 18, 15, 11, 14, 23, 10, 0]",0.894571889,0.872639375,0.892887061,0.020247686,0.893862176,0.021222801
9,"[57, 31, 21, 20, 24, 17, 17, 11, 13, 19, 12, 0]",0.894430348,0.874411222,0.884803813,0.010392591,0.893329624,0.018918402
10,"[45, 63, 19, 29, 31, 9, 11, 10, 13, 9, 3, 0]",0.893921912,0.872837837,0.883680074,0.010842237,0.892529909,0.019692072
11,"[40, 55, 38, 30, 14, 22, 1, 16, 12, 3, 1, 10]",0.892578338,0.873468168,0.867085869,-0.0063823,0.891811922,0.018343753
12,"[55, 31, 18, 28, 21, 16, 15, 14, 14, 19, 11, 0]",0.894564092,0.873095871,0.890708818,0.017612947,0.894398909,0.021303038
13,"[52, 25, 29, 22, 26, 15, 16, 12, 16, 17, 12, 0]",0.894319819,0.873405313,0.893368341,0.019963027,0.893917177,0.020511864
14,"[46, 57, 28, 29, 24, 11, 13, 9, 11, 7, 2, 5]",0.894160087,0.871650789,0.892947709,0.02129692,0.893553842,0.021903053
15,"[47, 59, 29, 24, 33, 24, 6, 10, 3, 6, 1, 0]",0.894393459,0.872606387,0.884820003,0.012213617,0.893328817,0.02072243
16,"[42, 57, 28, 32, 28, 15, 14, 4, 16, 6, 0, 0]",0.893150938,0.87276122,0.891904646,0.019143427,0.892927924,0.020166705
17,"[62, 24, 18, 25, 23, 17, 17, 12, 12, 21, 11, 0]",0.894410649,0.872637366,0.884653385,0.012016019,0.893667543,0.021030177
18,"[59, 65, 32, 31, 14, 8, 10, 9, 3, 4, 2, 5]",0.896593377,0.871028402,0.888809844,0.017781442,0.896232556,0.025204154
19,"[53, 66, 41, 14, 16, 10, 10, 9, 4, 11, 8, 0]",0.895605938,0.874013069,0.87580014,0.001787072,0.895605938,0.021592869
20,"[52, 71, 27, 25, 6, 20, 14, 10, 12, 1, 3, 1]",0.895421355,0.874339461,0.885553234,0.011213773,0.893972738,0.019633277
21,"[54, 27, 25, 22, 25, 16, 15, 12, 18, 17, 11, 0]",0.894465508,0.871651969,0.888896916,0.017244947,0.893811287,0.022159318
22,"[49, 34, 21, 23, 26, 16, 16, 14, 12, 21, 10, 0]",0.894247351,0.871775041,0.890636275,0.018861234,0.893846839,0.022071797
23,"[46, 62, 38, 31, 4, 24, 12, 5, 8, 5, 6, 1]",0.894164086,0.873376805,0.874721681,0.001344877,0.893711223,0.020334418
24,"[48, 60, 29, 23, 20, 16, 13, 4, 14, 5, 10, 0]",0.894614319,0.872929128,0.878432789,0.00550366,0.894243166,0.021314038
25,"[55, 32, 18, 23, 27, 15, 14, 12, 14, 20, 12, 0]",0.894533115,0.870525185,0.891945901,0.021420716,0.89381059,0.023285405
26,"[55, 30, 21, 24, 22, 17, 16, 13, 13, 19, 12, 0]",0.894651653,0.872499005,0.88155223,0.009053225,0.894621064,0.02212206
27,"[48, 35, 21, 24, 25, 18, 11, 15, 13, 18, 14, 0]",0.894076847,0.872496429,0.889406186,0.016909757,0.892992022,0.020495592
28,"[56, 25, 22, 28, 20, 16, 16, 15, 12, 22, 10, 0]",0.894498732,0.869881399,0.891259225,0.021377826,0.893455751,0.023574352
29,"[56, 26, 21, 26, 22, 19, 14, 15, 13, 18, 12, 0]",0.894620181,0.872278261,0.892403752,0.020125491,0.894413205,0.022134944
30,"[56, 25, 23, 25, 24, 18, 12, 16, 13, 19, 11, 0]",0.894550387,0.871944354,0.889690614,0.01774626,0.893780656,0.021836303
31,"[55, 29, 20, 26, 22, 18, 15, 13, 13, 19, 12, 0]",0.894661704,0.873694451,0.888969054,0.015274603,0.894011075,0.020316625
32,"[55, 29, 20, 26, 23, 18, 14, 12, 13, 19, 13, 0]",0.894620434,0.872408578,0.893090573,0.020681995,0.893778942,0.021370364
33,"[58, 27, 20, 24, 23, 18, 14, 14, 11, 19, 14, 0]",0.894531194,0.872370776,0.886628349,0.014257573,0.893337067,0.020966292
34,"[56, 29, 20, 20, 29, 16, 13, 15, 13, 21, 10, 0]",0.894425085,0.869566411,0.892994386,0.023427975,0.894087719,0.024521308
35,"[57, 23, 23, 26, 24, 18, 14, 11, 16, 18, 12, 0]",0.894518439,0.871687128,0.889461056,0.017773928,0.893003489,0.021316361
36,"[54, 27, 25, 21, 24, 19, 15, 12, 11, 20, 13, 1]",0.894376194,0.873924436,0.889389249,0.015464813,0.893372153,0.019447717
37,"[56, 24, 24, 24, 21, 19, 15, 15, 15, 16, 13, 0]",0.89446819,0.871152516,0.891113591,0.019961075,0.893766859,0.022614343
38,"[53, 63, 35, 24, 29, 7, 13, 3, 9, 6, 0, 0]",0.895605938,0.873469893,0.887242616,0.013772723,0.89440038,0.020930487
39,"[55, 73, 27, 21, 10, 7, 13, 16, 1, 7, 11, 1]",0.895956838,0.873059398,0.886607255,0.013547856,0.895956838,0.022897439
40,"[55, 33, 16, 27, 21, 16, 15, 14, 15, 18, 12, 0]",0.894476536,0.873717972,0.888759051,0.015041079,0.893683138,0.019965166
41,"[54, 24, 24, 26, 28, 13, 15, 12, 17, 19, 10, 0]",0.894361282,0.872764506,0.889963083,0.017198577,0.893178887,0.020414381
42,"[51, 63, 25, 26, 20, 22, 16, 8, 1, 7, 3, 0]",0.89523026,0.870271706,0.890058531,0.019786825,0.89523026,0.024958554
43,"[58, 24, 20, 24, 29, 17, 13, 13, 12, 22, 10, 0]",0.894411585,0.870361584,0.892525125,0.022163541,0.893356505,0.022994921
44,"[54, 29, 22, 26, 22, 14, 17, 13, 14, 19, 12, 0]",0.894568644,0.872378212,0.892170113,0.019791901,0.894161572,0.02178336
45,"[55, 27, 17, 28, 23, 14, 17, 10, 21, 15, 15, 0]",0.89414077,0.87256379,0.89036618,0.01780239,0.893269375,0.020705585
46,"[50, 58, 33, 26, 26, 16, 11, 10, 4, 4, 3, 1]",0.895032307,0.871681418,0.887867019,0.016185601,0.893291293,0.021609875
47,"[52, 31, 19, 26, 26, 14, 16, 12, 13, 21, 12, 0]",0.89446432,0.872510124,0.883109572,0.010599447,0.894153469,0.021643345
48,"[59, 66, 28, 24, 19, 9, 10, 9, 11, 1, 2, 4]",0.896593377,0.87316098,0.882596703,0.009435724,0.896525153,0.023364173
49,"[51, 25, 27, 26, 25, 15, 13, 18, 10, 21, 11, 0]",0.894205375,0.872919581,0.89181138,0.018891799,0.893343863,0.020424282
50,"[55, 29, 21, 23, 23, 19, 15, 13, 12, 20, 11, 1]",0.894538254,0.870490757,0.883519269,0.013028512,0.894279541,0.023788783
51,"[45, 56, 37, 35, 16, 20, 3, 6, 15, 4, 2, 3]",0.893925704,0.87148765,0.881713113,0.010225463,0.892412563,0.020924913
52,"[53, 28, 23, 22, 27, 18, 13, 12, 12, 23, 11, 0]",0.894456443,0.873403533,0.887493177,0.014089643,0.894091922,0.020688389
53,"[55, 25, 21, 27, 22, 17, 18, 9, 15, 20, 13, 0]",0.894446881,0.871048422,0.88899948,0.017951057,0.892971075,0.021922653
54,"[52, 29, 22, 24, 24, 16, 18, 15, 12, 20, 10, 0]",0.894471482,0.869300519,0.890875775,0.021575256,0.893679705,0.024379186
55,"[51, 76, 22, 33, 15, 3, 14, 7, 3, 12, 6, 0]",0.89523026,0.871022389,0.883178436,0.012156047,0.893572737,0.022550348
56,"[41, 61, 23, 23, 19, 12, 32, 3, 11, 3, 8, 6]",0.892870719,0.872588191,0.886697988,0.014109796,0.892402454,0.019814262
57,"[57, 28, 20, 22, 22, 20, 13, 15, 14, 18, 13, 0]",0.894518721,0.874119935,0.882727688,0.008607753,0.894079639,0.019959704
58,"[47, 67, 43, 24, 4, 24, 13, 7, 4, 9, 0, 0]",0.894393459,0.872516957,0.889925606,0.017408649,0.892233965,0.019717008
59,"[50, 31, 22, 25, 25, 16, 17, 12, 16, 18, 10, 0]",0.8943434,0.87272465,0.891242204,0.018517554,0.893712599,0.020987949
60,"[59, 26, 18, 26, 24, 18, 14, 13, 12, 21, 11, 0]",0.894562948,0.873811561,0.883027812,0.009216252,0.894099015,0.020287454
61,"[61, 25, 20, 23, 22, 17, 17, 12, 12, 21, 12, 0]",0.894468233,0.871611174,0.888750338,0.017139163,0.89396566,0.022354486
62,"[49, 40, 18, 21, 25, 15, 16, 14, 12, 24, 8, 0]",0.893936358,0.872601184,0.888533389,0.015932205,0.893318592,0.020717408
63,"[39, 55, 34, 22, 35, 5, 17, 3, 11, 6, 3, 12]",0.892272993,0.872307982,0.882160912,0.009852931,0.892237307,0.019929325
64,"[57, 63, 36, 23, 17, 15, 7, 3, 5, 10, 4, 2]",0.896285299,0.873046223,0.889209384,0.016163161,0.89298764,0.019941417
65,"[52, 29, 23, 24, 25, 18, 12, 15, 10, 23, 11, 0]",0.894385183,0.871897313,0.889914912,0.018017599,0.893896233,0.02199892
66,"[54, 28, 20, 25, 21, 18, 16, 12, 19, 17, 12, 0]",0.89446679,0.873331159,0.891257866,0.017926707,0.894206071,0.020874912
67,"[49, 34, 20, 23, 27, 17, 15, 14, 14, 17, 11, 1]",0.894180531,0.872483376,0.888132098,0.015648722,0.892388873,0.019905497
68,"[55, 30, 20, 25, 22, 17, 14, 12, 16, 19, 12, 0]",0.894619812,0.871302927,0.892140025,0.020837099,0.894396218,0.023093292
69,"[54, 29, 19, 30, 16, 20, 14, 13, 15, 19, 13, 0]",0.894213076,0.87045495,0.891644936,0.021189986,0.89302492,0.02256997
70,"[47, 57, 41, 23, 22, 11, 18, 7, 5, 11, 0, 0]",0.894393459,0.873515067,0.889240358,0.015725291,0.893901392,0.020386325
71,"[41, 56, 32, 33, 32, 3, 12, 4, 11, 14, 4, 0]",0.892870719,0.872289596,0.886396867,0.014107271,0.891539924,0.019250328
72,"[52, 29, 21, 29, 21, 15, 16, 15, 12, 19, 13, 0]",0.894437643,0.872070566,0.891966026,0.01989546,0.89373562,0.021665054
73,"[56, 28, 19, 28, 22, 15, 16, 13, 13, 20, 12, 0]",0.894606556,0.873301975,0.891281385,0.01797941,0.894427001,0.021125026
74,"[49, 30, 22, 23, 24, 17, 16, 18, 17, 16, 10, 0]",0.894075809,0.872080443,0.889476031,0.017395587,0.892349651,0.020269208
75,"[51, 73, 22, 33, 19, 2, 13, 5, 4, 17, 3, 0]",0.89523026,0.873226431,0.887985831,0.014759401,0.89523026,0.022003829
76,"[53, 28, 22, 24, 21, 22, 13, 16, 12, 21, 10, 0]",0.894450952,0.871718699,0.884570606,0.012851907,0.893851349,0.02213265
77,"[50, 58, 44, 26, 20, 6, 9, 9, 10, 0, 8, 2]",0.895032307,0.870020535,0.882036309,0.012015774,0.893329086,0.023308552
78,"[53, 30, 23, 24, 22, 17, 15, 13, 15, 17, 13, 0]",0.894557301,0.870634148,0.885856398,0.01522225,0.894267734,0.023633586
79,"[52, 67, 31, 22, 8, 10, 25, 6, 11, 4, 0, 6]",0.895421355,0.873360414,0.887958102,0.014597688,0.891461866,0.018101451
80,"[50, 69, 35, 11, 31, 10, 14, 4, 2, 10, 3, 3]",0.895032307,0.872113695,0.886417492,0.014303797,0.894065332,0.021951637
